@relation comments
@attribute content string
@attribute result {-10,0,10}
@data
'an dn s aresei apla de to akous kai to kratas gia party sou aplo de mpaineis sta tragoudia na grafeis tis paparies  sou ektos k an eisai kompleksikos',0
'nai kai den tous ekmetaleuonte einai oi pio agapitoi  aristeroi bouleutes kai milan para polu wraia kai to kke afinei tin papariga na leei pragmata pou mono i idia kai oi  syntrfoi tis katalavainoun',-10
'pes mou poios  gelaei twra kokkino teloneio ahahah ahahhaha egw gelaei egw',0
'i just wanna  party dj darj rules',0
'to 1 dislike to efahe epeidh dn exei hd  auto to gamato clip',0
'petros gaitanos para polu  wraios',0
'auto to tragoudi panta tha me ragizei  kommatara',0
'pw ti eipes  (',0
'hey  stratos eisai megalos copyman re file',0
'kl pos ginete auto to kommati na exei dislikes to kommati  ta spaei agria',0
'bravo paidia pragmatika bravo polu wraia mousikh  kai stoixous enoeite',0
'hey zok pws kai dn anevases extes video perimena oli mera  p',0
'apextos  o vassilhs eimai kai egw mesa sto video',0
'sorry file mou 0kostas7 alla ego simfono me ton paoki43 kai ego otan akousa to tragoudaki proti fora  to idio skeftika mallon esi den exeis megali fantasia',0
'4h dhmotikou',0
'apo ta kalitera video pou exo dei  poly psaxmeno mpravw megale 5',0
's  euxaristo polu gia tin  protasi kai to skeftika kai ego alla den vgainei se kali poiotita o ixos kai de mou aresei -p',0
'trela gousta',0
'oti tin varese ke ir9e h astynomia k aftoc eipe oti  apla epece moni tic apo tic ckalec profanos  p',0
'ase vlakako pou egines kai  ellinas tis kiprou twra pare ton psixopathi grammatea mixaloliako kai klaste mas ta arxidia mazi me tous ipolipous xountikous',-10
'merci  merci )',0
'poly kalo  remix k pali mpravo',0
'eno eixe apaixta tragoudia  den itan pote 1 onoma poios kserei arage',0
'saras kai batiste',0
'welldone',0
'eykola diplasious isos kai parapano tora an autoi ekei pano theloune na vgazoune vromes kai na lene ta dika tous tote  ok de tha tous xalasoume xatiri aytoi diadidoun oti exoun 3 ekatommyria kosmo axaxaxaxa',0
'etsi',0
'ok re vlkaka athinee pane na fas kana kalamaki kai ase tis pipes  sou',0
'i ekpompi legete kitrino-mauro kai oxi mauro  aspro aris_idea_ieroloxites',0
' )',0
'filarakh oi  zn de bgalane ta lefta tous epidh miraze cd palia ke dithen rapper ke taxa gamatoi ksereis apo ti htane episis den sigkrinoume zn me going through einai kati diaforetiko',0
'polles gnoseis  exeis file mou  ) poly katotopistikos isoun pantos',0
'the  best  song',0
'ola einai alitheia ektos apo kati pou den leei sto telos oti aytoi pou ton maxerosan oi 3 sthn plateia afethikan  meta apo 3 xronia fylakhs logo nearou ths hlikias tous',0
'moiazei polu  me to i follow rivers i mousiki',0
'h  mia dn xerei na metraei kai me ta daktyla  axxaax ti allo th doume xaaxxa',0
'kai  myalo na eixame p a o k  tha eimastan',0
'',0
