@relation comments
@attribute content string
@attribute result {-10,0,10}
@data
'ti m ekanan xm pame na s thumisw gt xexnas barkiza poulisan tn agwna gia karekles  sigkuvernisi me mitsotaki pali gia karekles  polutexneio tou  1998  oi kkedes paredwsan stous mpatsous posous agwnistes kanontas to rolo tou roufianou apergia fetos ntavatziliki tou kke sti poreia xulo mazi me mpatsous k apo ti stratokavli perifrourisi tous pame ki alla ntavatziliki se swmateia ratsistes k sexistes se kathe ergati p de strateuetai me to pame posa akoma',-10
'gia na ksekatharisoume kati oi mpatsoi einai exthroi einai extroi dioti dialeksan na pane me to meros tou exthrou sto simeio pou ftasame dn xwrane isws an kai tetoia kseroume tous filous mas kai tous extrous  mas mn psaxnete dikaiologies dustuxws exoume polemo kai opoios dn to pisteuei stin epomeni geniki apergia na katevei na dei',-10
's osous den kataavainoun i den theloun na doun tin aitheia tou video eyxomai kapoia stigmi na diadilonoun  me tin oikogeneia tous k na tous eppitethoun oi kolompatsoi  ekei na sas do ti tha lete  volemenoi floroi oloi',-10
'poios einia mikros re malaka auta pou grafw 8elei kai mualo gia na ta katalabeis alla skata exeis sto kafali san tous mpatsous oi diadiloseis arxidi ginontai gia na min  zeis mia zwh san sklabos kai san malakas pou eisai kai an eimai mikros ela na kanonisoume ranteboudaki skatomuale fasista',-10
'kai oso den ksipnas egw tha sou gamaw thn poria kariola exete brei twra sinexeia kai to lete zwa mpatsoi mesa sthn antieksousiastikh poreia kai to exete kavalisei den mporoume 300 atoma na elenxoume tous ipolipous zwa oloi idioi eimaste to exete brei kalami twra  kai to lete gia dikaiologies poytanakia kkedes',-10
'mpatsoi  gourounia dolofonoi',-10
'  theloyn ton anthrwpo egefalika  nekro giayto kai oi mpatsoi oloi varane sto psaxno',-10
'to savvato tha  paiksoun sta propylaia se synaulia apo tin ak enantia stin kratiki katastoli kai tin mpatsokratia abolish capitalism (a)',-10
'molotof kai mpoukalia stwn mpatswn  ta kefalia',-10
'we dont forgive we dont forget 06 12 08  mpatsi gouronia dolofonoi',-10
'deutera oloi kentro g tn ka8aristria p xaropaleuei e3 aitias tou mpatso allhlegguh  siga mn klayw proxwraw mprosta',-10
